id;name;used
403052;Bus 27: Fernheizkraftwerk => Chemiepark;
403067;Bus 17: Fernheizkraftwerk => Hitzing;
403523;Bus 19: Fernheizkraftwerk => Pichlinger See;
403813;Bus 18: Turmstraße => Stahlwerk;
403814;Bus 102: Rudolfstraße => Worathweg;
403815;Bus 101: Urnenhain Urfahr => Aichinger;
404068;300 Linz-Hellmonsödt Glasau - Reichenthal;
405348;Bus 24: Freilassing => Ferdinand-Hanusch-Platz;
408318;Bus 551: Liebensdorf Ort => Leibnitz Wagnastraße/Schulzentrum;
408320;Bus 604: Leibnitz Kulturzentrum => Straß Kaserne;
408322;Bus 607: Höch Orell/Volksschule => Leibnitz Kulturzentrum;
408323;Bus 608: Leibnitz Kulturzentrum => Altenmarkt bei Leibnitz Stegwirt;
408328;Bus 619;
410510;Bus 445: Götzis Bahnhof W => Tisis Landeskrankenhaus;
410633;Bus 493: Viktorsberg Hotel Viktor => Sulz-Röthis Bahnhof;
410678;Bus 494: Muntlix => Dafins;
411451;Bus 495: Rankweil => Rankweil Frutzolen => Laterns;
415836;Bus 430: Götzis => Tisis;
415931;Bus 470: Klaus Bahnhof => Schaan Bahnhof;
418413;VVV Nightline N1 - Feldkirch - Klaus - Rankweil - Feldkirch;
418529;Bus 54B: Ober St. Veit => Stock im Weg;
418530;Bus 54A: Ober St. Veit => Stock im Weg;
418865;Bus 53A: Hütteldorf => Unter St. Veit, Verbindungsbahn;
419442;Bus 72: Schulzentrum St. Peter => Liebenau;
419444;Bus 72: Schulzentrum St. Peter => Walter-P.-Chrysler-Platz;
419449;Bus 72: Liebenau => Schulzentrum St. Peter;
538868;Bus 32A: Strebersdorf => Leopoldau;
572460;Bus 501: Graz Griesplatz => Wolfsberg im Schwarzautal Schulzentrum;
572524;Bus 67A: Alaudagasse => Inzersdorf, Slamastraße (über Richard-Strauss-Straße);
911647;Bus 41: St. Leonhard/Klinikum Mitte=> Dürrgrabenweg;
912496;Bus 52A: Hütteldorf => Jägerwaldsiedlung;
912497;Bus 52A: Jägerwaldsiedlung => Hütteldorf;
913869;Bus 1: Gassing Euromarkt => Bruck an der Mur Murinsel;
913870;Bus 1: Bruck an der Mur Murinsel => Gassing Euromarkt;
915346;Bus 440: Sankt Marein bei Graz Gewerbepark => Graz Jakominiplatz;
935281;Bus 30: Geidorf => Jakominiplatz;
935285;Bus 30: Geidorf => Citypark;
935290;Bus 30: Jakominiplatz => Geidorf;
936506;Bus 34E: Theyergasse => Jakominiplatz;
940031;Bus 60: Lustbühel => Krenngasse;
940032;Bus 60: Krenngasse => Lustbühel;
941408;Bus 34: Thondorf => Jakominiplatz;
941409;Bus 34: Jakominiplatz => Thondorf;
942049;Bus 850: Wien Floridsdorf => Korneuburg Bahnhof;
944735;Bus 33: Peter-Rosegger-Straße => Jakominiplatz;
948228;Bus 32: Jakominiplatz => Unterpremstätten/Steg;
948229;Bus 32: Seiersberg => Jakominiplatz;
948232;Bus 32: Jakominiplatz => Seiersberg;
948395;Bus 31: Webling => Uni/ReSoWi;
948832;Bus 40: Gösting => Jakominiplatz;
951136;Bus 63: Schulzentrum Sankt Peter => Hauptbahnhof;
951144;Bus 58: Ragnitz => Hauptbahnhof;
956164;Bus 74: Dörfla => Liebenau;
956166;Bus 67E: Zanklstraße => Jakominiplatz;
956168;Bus 67: Zentralfriedhof => Zanklstraße;
956172;Bus 67: Zanklstraße => Zentralfriedhof;
